"","hightemp01","hightemp02","normal01","normal02"
"AQUIFEX_00896",635.062465596958,655.098691512581,626.93896111486,616.973529509177
"AQUIFEX_01113",342.111059665976,375.76222365972,335.895755001125,353.837807715279
"AQUIFEX_01684",282.918823536086,302.200306858611,287.0563128793,304.998222988381
"AQUIFEX_00572",208.67771381385,230.626549971045,225.259467745562,243.201197415572
"AQUIFEX_01741",138.449637049574,157.064633169936,131.567476736346,149.508932837442
"AQUIFEX_01255",88.2867250750906,69.5855969740222,55.8165052820861,73.7577401998047
"AQUIFEX_00721",145.472444726002,165.01727282411,174.426579006519,156.486016369856
"AQUIFEX_01212",179.58322486865,156.070553213164,188.380705327041,170.440183434684
"AQUIFEX_00590",212.690746771809,188.875191786632,201.338108338954,183.397624280595
"AQUIFEX_00644",249.811301632927,278.342387896089,257.15461362104,239.214292539907
"AQUIFEX_00753",405.316328753825,381.726703400351,398.689323443472,380.749415626019
"AQUIFEX_00583",371.205548611176,423.478061584764,436.564809170602,418.625011944837
"AQUIFEX_01649",309.003537762817,297.229907074752,326.925245223647,320.945842491042
"AQUIFEX_01752",320.039378397203,346.933904913339,326.925245223647,337.890188212619
"AQUIFEX_01672",114.371439301822,132.212634250642,140.537986513824,114.623515175372
"AQUIFEX_00567",632.052690878489,642.175652074548,663.817723533381,649.865494733414
"AQUIFEX_01567",335.088251989548,326.058225821133,343.869541469995,364.801796123358
"AQUIFEX_01236",372.208806850666,316.117426253415,333.902308383908,326.92619980454
"AQUIFEX_01584",123.400763457229,141.159353861588,132.564200044955,110.636610299707
"AQUIFEX_00793",90.2932415540699,72.5678368443375,80.7345879973031,111.633336518623
"AQUIFEX_00180",290.944889452003,284.306867636719,302.00716250843,266.125900450647
"AQUIFEX_00080",84.2736921171319,66.603357103707,94.6887143178247,69.7708353241396
"AQUIFEX_00209",106.345373385905,105.372475417805,87.7116511575639,87.7119072646326
"AQUIFEX_01389",199.648389658444,209.750870878838,217.285681276692,191.371434031926
"AQUIFEX_01355",226.736362124664,250.50814910648,268.118570015735,263.135721793898
"AQUIFEX_00313",204.664680855892,243.549589409078,211.30534142504,222.26994681833
"AQUIFEX_00809",243.791752195989,238.579189625219,274.098909867387,256.158638261484
"AQUIFEX_01712",112.364922822843,144.141593731903,126.583860193302,139.541670648279
"AQUIFEX_01683",179.58322486865,162.035032953795,166.45279253765,184.394350499512
"AQUIFEX_00814",81.2639173986629,71.5737568875657,48.8394421218254,63.7904780106419
"AQUIFEX_01276",168.547384234264,182.910712046001,189.377428635649,165.456552340102
"AQUIFEX_01496",184.599516066099,184.898871959545,161.469175994606,167.450004777935
"AQUIFEX_00315",160.521318318347,177.940312262143,161.469175994606,193.364886469758
"AQUIFEX_00834",186.606032545078,220.685750403328,203.331554956171,219.279768161581
"AQUIFEX_01361",194.632098460995,226.650230143958,209.311894807823,213.299410848084
